Case ID,Start Timestamp,Complete Timestamp,Activity,Resource,Role,Invoice amount,Discount,Country
560,21/03/2020 06:35:00,21/03/2020 07:12:00,Create Purchase Requisition,Kim Passa,Requester,1022168.37,22455.51,AUS
560,22/03/2020 05:41:00,22/03/2020 05:49:00,Analyze Purchase Requisition,Maris Freeman,Requester Manager,1022168.37,22455.51,AUS
560,22/03/2020 05:55:00,22/03/2020 05:57:00,Create Request for Quotation Requester Manager,Francis Odell,Requester Manager,1022168.37,22455.51,AUS
560,27/03/2020 09:43:00,27/03/2020 09:58:00,Analyze Request for Quotation,Francois de Perrier,Purchasing Agent,1022168.37,22455.51,AUS
560,27/03/2020 21:49:00,27/03/2020 22:20:00,Send Request for Quotation to Supplier,Francois de Perrier,Purchasing Agent,1022168.37,22455.51,AUS
560,28/03/2020 01:03:00,28/03/2020 03:37:00,Create Quotation comparison Map,Francois de Perrier,Purchasing Agent,1022168.37,22455.51,AUS
560,28/03/2020 10:17:00,28/03/2020 10:48:00,Analyze Quotation comparison Map,Christian Francois,Requester,1022168.37,22455.51,AUS
560,28/03/2020 10:48:00,28/03/2020 10:48:00,Choose best option,Miu Hanwan,Requester,1022168.37,22455.51,AUS
560,28/03/2020 22:22:00,29/03/2020 10:14:00,Settle conditions with supplier,Magdalena Predutta,Purchasing Agent,1022168.37,22455.51,AUS
560,29/03/2020 15:25:00,29/03/2020 15:32:00,Create Purchase Order,Francois de Perrier,Purchasing Agent,1022168.37,22455.51,AUS
560,30/03/2020 20:02:00,30/03/2020 20:35:00,Confirm Purchase Order,Kiu Kan,Supplier,1022168.37,22455.51,AUS
560,31/03/2020 08:57:00,31/03/2020 20:19:00,Deliver Goods Services,Karen Clarens,Supplier,1022168.37,22455.51,AUS
560,01/04/2020 03:52:00,01/04/2020 03:53:00,Release Purchase Order,Immanuel Karagianni,Requester,1022168.37,22455.51,AUS
560,01/04/2020 11:57:00,01/04/2020 11:58:00,Approve Purchase Order for payment,Magdalena Predutta,Purchasing Agent,1022168.37,22455.51,AUS
560,05/04/2020 01:49:00,05/04/2020 01:49:00,Send invoice,Karen Clarens,Supplier,1022168.37,22455.51,AUS
560,05/04/2020 16:14:00,05/04/2020 16:18:00,Release Supplier's Invoice,Pedro Alvares,Financial Manager,1022168.37,22455.51,AUS
560,05/04/2020 16:18:00,05/04/2020 16:18:00,Authorize Supplier's Invoice payment,Pedro Alvares,Financial Manager,1022168.37,22455.51,AUS
560,05/04/2020 17:24:00,05/04/2020 17:31:00,Pay invoice,Pedro Alvares,Financial Manager,1022168.37,22455.51,AUS
146,19/01/2020 06:25:00,19/01/2020 06:50:00,Create Purchase Requisition,Tesca Lobes,Requester,907279.92,16213.08,AUS
146,20/01/2020 04:11:00,20/01/2020 04:18:00,Analyze Purchase Requisition,Maris Freeman,Requester Manager,907279.92,16213.08,AUS
146,20/01/2020 04:23:00,20/01/2020 04:26:00,Create Request for Quotation Requester Manager,Heinz Gutschmidt,Requester Manager,907279.92,16213.08,AUS
146,21/01/2020 19:14:00,21/01/2020 19:39:00,Analyze Request for Quotation,Karel de Groot,Purchasing Agent,907279.92,16213.08,AUS
146,22/01/2020 16:56:00,22/01/2020 17:16:00,Send Request for Quotation to Supplier,Magdalena Predutta,Purchasing Agent,907279.92,16213.08,AUS
146,22/01/2020 17:55:00,22/01/2020 22:48:00,Create Quotation comparison Map,Magdalena Predutta,Purchasing Agent,907279.92,16213.08,AUS
146,23/01/2020 05:30:00,23/01/2020 05:48:00,Analyze Quotation comparison Map,Alberto Duport,Requester,907279.92,16213.08,AUS
146,23/01/2020 05:48:00,23/01/2020 05:48:00,Choose best option,Fjodor Kowalski,Requester,907279.92,16213.08,AUS
146,23/01/2020 08:37:00,23/01/2020 22:40:00,Settle conditions with supplier,Magdalena Predutta,Purchasing Agent,907279.92,16213.08,AUS
146,24/01/2020 04:11:00,24/01/2020 04:18:00,Create Purchase Order,Magdalena Predutta,Purchasing Agent,907279.92,16213.08,AUS
146,24/01/2020 20:33:00,24/01/2020 21:02:00,Confirm Purchase Order,Karen Clarens,Supplier,907279.92,16213.08,AUS
146,27/01/2020 05:02:00,28/01/2020 06:01:00,Deliver Goods Services,Esmeralda Clay,Supplier,907279.92,16213.08,AUS
146,28/01/2020 13:31:00,28/01/2020 13:32:00,Release Purchase Order,Immanuel Karagianni,Requester,907279.92,16213.08,AUS
146,28/01/2020 21:30:00,29/01/2020 07:40:00,Settle dispute with supplier Purchasing Agent,Karel de Groot,Purchasing Agent,907279.92,16213.08,AUS
146,29/01/2020 15:11:00,29/01/2020 15:12:00,Release Purchase Order,Tesca Lobes,Requester,907279.92,16213.08,AUS
146,30/01/2020 08:45:00,30/01/2020 08:46:00,Approve Purchase Order for payment,Karel de Groot,Purchasing Agent,907279.92,16213.08,AUS
146,31/01/2020 00:41:00,31/01/2020 00:41:00,Send invoice,Esmeralda Clay,Supplier,907279.92,16213.08,AUS
146,31/01/2020 14:57:00,31/01/2020 15:02:00,Release Supplier's Invoice,Karalda Nimwada,Financial Manager,907279.92,16213.08,AUS
146,31/01/2020 15:02:00,31/01/2020 15:02:00,Authorize Supplier's Invoice payment,Karalda Nimwada,Financial Manager,907279.92,16213.08,AUS
146,31/01/2020 15:16:00,31/01/2020 15:29:00,Pay invoice,Karalda Nimwada,Financial Manager,907279.92,16213.08,AUS
147,19/01/2020 06:28:00,19/01/2020 07:18:00,Create Purchase Requisition,Christian Francois,Requester,505536.4,832.0,AUS
